Configuracion,kernel,C_first,Gamma_first,Degree_first,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Tiempo
SVM_linear_C0.1_degree3,linear,0.1,,3,0.8355263157894737,NaN,0.8407643312101911,NaN,0.19
SVM_linear_C0.1_degree3,linear,0.1,,3,0.8618421052631579,NaN,0.8609271523178809,NaN,0.19
SVM_linear_C0.1_degree3,linear,0.1,,3,0.7763157894736842,NaN,0.763888888888889,NaN,0.19
SVM_linear_C0.1_degree3,linear,0.1,,3,0.8421052631578947,NaN,0.8461538461538461,NaN,0.19
SVM_linear_C0.1_degree3,linear,0.1,,3,0.8223684210526315,NaN,0.8163265306122449,NaN,0.19
SVM_linear_C0.1_degree3,linear,0.1,,3,0.8289473684210527,NaN,0.8266666666666665,NaN,0.19
SVM_linear_C0.1_degree3,linear,0.1,,3,0.8486842105263158,NaN,0.8535031847133758,NaN,0.19
SVM_linear_C0.1_degree3,linear,0.1,,3,0.8157894736842105,NaN,0.8205128205128205,NaN,0.19
SVM_linear_C0.1_degree3,linear,0.1,,3,0.875,NaN,0.8789808917197451,NaN,0.19
SVM_linear_C0.1_degree3,linear,0.1,,3,0.8421052631578947,NaN,0.8400000000000001,NaN,0.19
SVM_linear_C1.0_degree3,linear,1.0,,3,0.8289473684210527,NaN,0.8333333333333334,NaN,0.23
SVM_linear_C1.0_degree3,linear,1.0,,3,0.868421052631579,NaN,0.8666666666666667,NaN,0.23
SVM_linear_C1.0_degree3,linear,1.0,,3,0.7631578947368421,NaN,0.7499999999999999,NaN,0.23
SVM_linear_C1.0_degree3,linear,1.0,,3,0.8421052631578947,NaN,0.8461538461538461,NaN,0.23
SVM_linear_C1.0_degree3,linear,1.0,,3,0.8355263157894737,NaN,0.8275862068965517,NaN,0.23
SVM_linear_C1.0_degree3,linear,1.0,,3,0.8289473684210527,NaN,0.8266666666666665,NaN,0.23
SVM_linear_C1.0_degree3,linear,1.0,,3,0.8421052631578947,NaN,0.8461538461538461,NaN,0.23
SVM_linear_C1.0_degree3,linear,1.0,,3,0.8157894736842105,NaN,0.8205128205128205,NaN,0.23
SVM_linear_C1.0_degree3,linear,1.0,,3,0.875,NaN,0.8789808917197451,NaN,0.23
SVM_linear_C1.0_degree3,linear,1.0,,3,0.8355263157894737,NaN,0.832214765100671,NaN,0.23
SVM_rbf_C0.5_gamma0.01_degree3,rbf,0.5,0.01,3,0.8355263157894737,NaN,0.8387096774193549,NaN,1.39
SVM_rbf_C0.5_gamma0.01_degree3,rbf,0.5,0.01,3,0.868421052631579,NaN,0.8666666666666667,NaN,1.39
SVM_rbf_C0.5_gamma0.01_degree3,rbf,0.5,0.01,3,0.7763157894736842,NaN,0.763888888888889,NaN,1.39
SVM_rbf_C0.5_gamma0.01_degree3,rbf,0.5,0.01,3,0.8486842105263158,NaN,0.8535031847133758,NaN,1.39
SVM_rbf_C0.5_gamma0.01_degree3,rbf,0.5,0.01,3,0.8223684210526315,NaN,0.8137931034482757,NaN,1.39
SVM_rbf_C0.5_gamma0.01_degree3,rbf,0.5,0.01,3,0.8092105263157895,NaN,0.8079470198675497,NaN,1.39
SVM_rbf_C0.5_gamma0.01_degree3,rbf,0.5,0.01,3,0.8421052631578947,NaN,0.8461538461538461,NaN,1.39
